name,pts,ast,reb,blk,stl,sal,age,mp,fga
Jaime Jaquez Jr.,11.9,2.6,3.8,0.3,1.0,3510600.0,22,28.2,9.3
DaQuan Jeffries,0.8,0.3,0.3,0.1,0.0,1324828.0,26,2.7,1.0
Ty Jerome,2.0,1.5,0.5,0.0,0.0,2439025.0,26,7.5,2.0
Isaiah Joe,8.2,1.3,2.3,0.3,0.6,1997238.0,24,18.5,6.2
Cameron Johnson,13.4,2.4,4.3,0.3,0.8,25679348.0,27,27.6,10.7
Jalen Johnson,16.0,3.6,8.7,0.8,1.2,2925360.0,22,33.7,12.5
James Johnson,0.9,0.9,0.4,0.1,0.6,777703.0,36,5.2,1.1
Keldon Johnson,15.7,2.8,5.5,0.3,0.7,20000000.0,24,29.5,12.5
Keon Johnson,6.2,0.6,1.4,0.2,0.6,2808720.0,21,12.2,4.2
Nikola Jokić,26.4,9.0,12.4,0.9,1.4,47607350.0,28,34.6,17.9
Colby Jones,2.1,0.7,1.3,0.2,0.2,2019706.0,21,6.4,2.4
Damian Jones,2.7,0.4,1.6,0.3,0.2,2586665.0,28,6.9,1.8
Derrick Jones Jr.,8.6,1.0,3.3,0.7,0.7,5379706.0,26,23.5,6.5
Herbert Jones,11.0,2.6,3.6,0.8,1.4,12015150.0,25,30.5,7.7
Tre Jones,10.0,6.2,3.8,0.1,1.0,9895833.0,24,27.8,7.8
Tyus Jones,12.0,7.3,2.7,0.3,1.1,14000000.0,27,29.3,10.1
DeAndre Jordan,3.9,0.7,4.4,0.4,0.2,2019706.0,35,11.0,2.6
Cory Joseph,2.4,1.6,1.2,0.1,0.2,2019706.0,32,11.4,2.5
Nikola Jović,7.7,2.0,4.2,0.3,0.5,2352000.0,20,19.5,6.1
Luke Kennard,11.0,3.5,2.9,0.1,0.5,14763636.0,27,25.6,8.1
Walker Kessler,8.1,0.9,7.5,2.4,0.5,2831160.0,22,23.3,5.5
Corey Kispert,13.4,2.0,2.8,0.2,0.5,3722040.0,24,25.8,9.9
Maxi Kleber,4.4,1.6,3.3,0.7,0.4,11000000.0,32,20.3,3.4
